Name,Description,Link,Cost,Amount,Total
18650 Battery Cell,Battery with 65mm tall and 18mm wide,https://www.18650batterystore.com/collections/flat-top-18650-batteries/products/eve-26v-18650,1.7,90,153
Insulated Ring,Insulated ring around positive side to avoid short circuit,https://www.aliexpress.us/item/3256805004439782.html?gatewayAdapt=glo2usa4itemAdapt,3.02,1,3.02
Nickle Strips,"0.15x5mm(2.5 oz, 32 ft) 99.6% Purity Nickel Strips for Battery Spot Welding",https://www.amazon.com/SHONAN-Capacity-Battery-0-1x8mm-Welding/dp/B08RJ97W8P/ref=sr_1_5?crid=2LDW8D1XSNVBN&dib=eyJ2IjoiMSJ9.irJR3TSwGUkhoaZnMnetdxpQqpz0SxTxukk6oNMybJ-weeEExT-sL12o44uLijL3KT7AIk_yvdeLhQjd99imHL0DfOt929MbtsE1POEj7jsKdxxt8YMh3KhOyrbVGl3Kf0ZY0iv3W1Yw-L_7Aghne_Ynfkv5XF0tXt086fjKY54ljQBrYANLbY8WpXlCRzohRH_F6Fn_J6hOhXSkmInpEox6YAKJi4_mJ3cSY99LRyey3m_KDQbDUsWKcxZpABxkLqRMQ_X6bfwGvTkZNMoql4quuXbtc9iF2W6HXeyjjA0.Adtb_veGhjiJfSZtTGNsVwGbGlz0e39tIOZ7CjEJGPA&dib_tag=se&keywords=Pure%2BNickel%2BStrips&qid=1777075232&sprefix=pure%2Bnickel%2Bstrips%2Caps%2C254&sr=8-5&th=1,9.99,1,9.99
Spoit Welder,AWithZ UKF10,https://www.aliexpress.us/item/3256809392621852.html?pdp_npi=4%40dis%21USD%21US+%24181.35%21US+%2488.36%21%21%211233.66%21601.09%21%402101eede17771673266317747e350e%2112000049521604453%21sh%21US%210%21X&spm=a2g0o.store_pc_allItems_or_groupList.new_all_items_2007540531663.1005009578936604&gatewayAdapt=glo2usa,92.99,1,92.99
Heatshrink,Flatten Width 200mm,https://www.aliexpress.us/item/2255801026762581.html?spm=a2g0o.productlist.main.34.2f145ed5kGKuiC&algo_pvid=f9e4e2d8-0c69-488e-ad97-cefa5bfce131&algo_exp_id=f9e4e2d8-0c69-488e-ad97-cefa5bfce131-33&pdp_ext_f=%7B%22order%22%3A%221785%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.87%210.99%21%21%215.87%210.99%21%402101d9ef17771677064156947eb49a%2112000038061817987%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A876f5bbc%3Bm03_new_user%3A-29895%3BpisId%3A5000000203724255&curPageLogUid=h3qqv4BTD2UX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4001213077333%7C_p_origin_prod%3A,3.23,1,3.23
Epoxy Resin Board,"Insulation for batter, 172*203 x 3pcs",https://www.aliexpress.us/item/3256807154845259.html?spm=a2g0o.productlist.main.5.70e5faTufaTug9&algo_pvid=0581ce48-1611-42ed-8ef4-d68582ff6b77&algo_exp_id=0581ce48-1611-42ed-8ef4-d68582ff6b77-33&pdp_ext_f=%7B%22order%22%3A%221042%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.23%210.99%21%21%2149.16%216.72%21%40210311cc17771682998672903e3afa%2112000040336665753%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A876f5bbc%3Bm03_new_user%3A-29895%3BpisId%3A5000000203724255&curPageLogUid=vN7nS8iqiHnu&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007341160011%7C_p_origin_prod%3A,6.24,1,6.24
Kapton Tape,"Insultation Tape, 10mm x 33m",https://www.aliexpress.us/item/3256809203372254.html?spm=a2g0o.productlist.main.7.1b4f4d98Hbu9rp&algo_pvid=95541c47-3bc8-4442-a26c-f66363f18a7c&algo_exp_id=95541c47-3bc8-4442-a26c-f66363f18a7c-6&pdp_ext_f=%7B%22order%22%3A%22444%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.63%211.32%21%21%2124.68%218.94%21%40210318a717771689792273068ec618%2112000048953463369%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad3a77008%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=yXeUOtgIsPI4&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009389687006%7C_p_origin_prod%3A&_gl=1*1f22nvt*_gcl_aw*R0NMLjE3NzY4NjU5NjEuQ2p3S0NBanc0NkhQQmhBTUVpd0FTWnBMUkVOSGJfTTBTLXJGR050NlR4WGhxWnFMWWNJZ1pobzI4MUxpenJCRm5FenFITEtlbDA1cmJSb0NqTXNRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NzY4NjU5NjEuQ2p3S0NBanc0NkhQQmhBTUVpd0FTWnBMUkVOSGJfTTBTLXJGR050NlR4WGhxWnFMWWNJZ1pobzI4MUxpenJCRm5FenFITEtlbDA1cmJSb0NqTXNRQXZEX0J3RQ..*_gcl_au*MTk0NzUyMTY5MS4xNzc2MzkwMzk5*_ga*MTY0Mjc2MzI5NS4xNzc3MDc2MDYw*_ga_VED1YSGNC7*czE3NzcxNjcyNDQkbzMkZzEkdDE3NzcxNjkwMDQkajYwJGwwJGgw,3.31,1,3.31
Double Sided Tape,,https://www.aliexpress.com/ssr/300000512/BundleDeals2?spm=a2g0o.productlist.main.7.591e690bzy2vw2&productIds=1005009738386029%3A12000050001966330&pha_manifest=ssr&_immersiveMode=true&disableNav=YES&sourceName=SEARCHProduct&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009738386029%7C_p_origin_prod%3A1005008070213491&pvid=3a66c0f5-759e-429c-81b2-5ff1546d26d6&_gl=1*1pxtw97*_gcl_aw*R0NMLjE3NzY4NjU5NjEuQ2p3S0NBanc0NkhQQmhBTUVpd0FTWnBMUkVOSGJfTTBTLXJGR050NlR4WGhxWnFMWWNJZ1pobzI4MUxpenJCRm5FenFITEtlbDA1cmJSb0NqTXNRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NzY4NjU5NjEuQ2p3S0NBanc0NkhQQmhBTUVpd0FTWnBMUkVOSGJfTTBTLXJGR050NlR4WGhxWnFMWWNJZ1pobzI4MUxpenJCRm5FenFITEtlbDA1cmJSb0NqTXNRQXZEX0J3RQ..*_gcl_au*MTk0NzUyMTY5MS4xNzc2MzkwMzk5*_ga*MTY0Mjc2MzI5NS4xNzc3MDc2MDYw*_ga_VED1YSGNC7*czE3NzcxNjcyNDQkbzMkZzEkdDE3NzcxNjkyNzQkajU4JGwwJGgw,2.73,1,2.73
Heat guns,Shrink the heatshrink,https://www.aliexpress.us/item/3256807808350455.html?spm=a2g0o.productlist.main.7.576f166bV18YlE&algo_pvid=36e70a9e-39b8-4ff2-932e-0458a47c93da&algo_exp_id=36e70a9e-39b8-4ff2-932e-0458a47c93da-6&pdp_ext_f=%7B%22order%22%3A%221497%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2115.93%210.99%21%21%21108.39%216.78%21%402101e83017771693947994022eb7e8%2112000043196559128%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A876f5bbc%3Bm03_new_user%3A-29895%3BpisId%3A5000000203724255&curPageLogUid=Rz0NHE1nMJ1r&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007994665207%7C_p_origin_prod%3A,14.75,1,14.75
Silicone,Waterproof Adhesive Glue,https://www.aliexpress.us/item/2255800832293305.html?gatewayAdapt=glo2usa4itemAdapt,6.14,1,6.14
Thread Locker,Lock the bolts,https://www.aliexpress.us/item/3256808594980015.html?spm=a2g0o.productlist.main.1.6b1c321bodOADL&algo_pvid=e625f1b4-ecf3-47ae-a7b1-27b7921a346e&algo_exp_id=e625f1b4-ecf3-47ae-a7b1-27b7921a346e-0&pdp_ext_f=%7B%22order%22%3A%2240745%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.75%210.99%21%21%2132.28%216.70%21%402101c59117771699556676489e32d1%2112000046643831452%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A876f5bbc%3Bm03_new_user%3A-29895%3BpisId%3A5000000203724255&curPageLogUid=71tDlZTIoFD3&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008781294767%7C_p_origin_prod%3A,4.75,1,4.75
Bolt,M4 x 75mm,https://www.aliexpress.us/item/3256805160876571.html?spm=a2g0o.productlist.main.22.1617OkOBOkOB9D&algo_pvid=14c2e832-f491-4383-8053-42c9cc2c5d68&algo_exp_id=14c2e832-f491-4383-8053-42c9cc2c5d68-21&pdp_ext_f=%7B%22order%22%3A%221679%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.15%210.99%21%21%2121.45%216.76%21%402101e8f317771698890997558ed8a3%2112000032705377538%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A876f5bbc%3Bm03_new_user%3A-29895%3BpisId%3A5000000203724255&curPageLogUid=RmzIBe8rGCdN&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005347191323%7C_p_origin_prod%3A,3.28,1,3.28
Washer,M4 x 12mm ,https://www.aliexpress.com/ssr/300001493/welcomegiftspmpc?spm=a2g0o.productlist.main.3.3363hO9ehO9eKd&businessCode=ug&productIds=1005006435168778&pha_manifest=ssr&source_position=app_home_moretolove_wg&_immersiveMode=true&disableNav=YES&sourceName=SEARCH&skuId=12000037155926727&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006435168778%7C_p_origin_prod%3A&pvid=e182128f-7124-4b23-af93-89881de2aa60&_gl=1*cnfhgv*_gcl_aw*R0NMLjE3NzY4NjU5NjEuQ2p3S0NBanc0NkhQQmhBTUVpd0FTWnBMUkVOSGJfTTBTLXJGR050NlR4WGhxWnFMWWNJZ1pobzI4MUxpenJCRm5FenFITEtlbDA1cmJSb0NqTXNRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NzY4NjU5NjEuQ2p3S0NBanc0NkhQQmhBTUVpd0FTWnBMUkVOSGJfTTBTLXJGR050NlR4WGhxWnFMWWNJZ1pobzI4MUxpenJCRm5FenFITEtlbDA1cmJSb0NqTXNRQXZEX0J3RQ..*_gcl_au*MTk0NzUyMTY5MS4xNzc2MzkwMzk5*_ga*MTY0Mjc2MzI5NS4xNzc3MDc2MDYw*_ga_VED1YSGNC7*czE3NzcxNjcyNDQkbzMkZzEkdDE3NzcxNzAyMzgkajE1JGwwJGgw,2.2,1,2.2
BMS Cable,Replace the old BMS cable,https://www.aliexpress.us/item/3256805877779699.html?spm=a2g0o.productlist.main.1.26832fvW2fvWbO&algo_pvid=8e693aef-07f5-4f10-96b0-e40a272cff15&algo_exp_id=8e693aef-07f5-4f10-96b0-e40a272cff15-0&pdp_ext_f=%7B%22order%22%3A%2280%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.32%212.82%21%21%2122.59%2119.19%21%402101eee917772122178256107e7bdf%2112000035564180922%21sea%21US%212803737097%21ACX%211%210%21n_tag%3A-29919%3Bd%3A876f5bbc%3Bm03_new_user%3A-29894%3BpisId%3A5000000204885259&curPageLogUid=TqTfryCx61vF&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006064094451%7C_p_origin_prod%3A,4.65,1,4.65
Soldering Iron,Connect the BMS to the pack,https://www.aliexpress.us/item/3256806638677114.html?spm=a2g0o.productlist.main.5.6c5a2df4hEMzQa&algo_pvid=64227873-c43f-48ec-b94c-dbb8812175cd&algo_exp_id=64227873-c43f-48ec-b94c-dbb8812175cd-4&pdp_ext_f=%7B%22order%22%3A%221666%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2126.15%213.68%21%21%2126.15%213.68%21%402101d6fe17775796149165532e0a6c%2112000038426100590%21sea%21US%212803737097%21ACX%211%210%21n_tag%3A-29919%3Bd%3A876f5bbc%3Bm03_new_user%3A-29894%3BpisId%3A5000000205323388&curPageLogUid=rGMrQTx84RSF&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006824991866%7C_p_origin_prod%3A,35.49,1,35.49
Solder Wire,,https://www.aliexpress.us/item/3256808379243611.html?spm=a2g0o.productlist.main.2.3601QsiSQsiSKh&algo_pvid=fc5d6152-1c16-4138-89c5-79ebbe561993&algo_exp_id=fc5d6152-1c16-4138-89c5-79ebbe561993-1&pdp_ext_f=%7B%22order%22%3A%223654%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.40%210.99%21%21%2116.37%216.77%21%402101ef5e17775801305765420e40a1%2112000045759442524%21sea%21US%212803737097%21ACX%211%210%21n_tag%3A-29919%3Bd%3A876f5bbc%3Bm03_new_user%3A-29894%3BpisId%3A5000000203538135&curPageLogUid=zAXJHLiKy6JR&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008565558363%7C_p_origin_prod%3A,32.49,1,32.49
,,,,,0
